country,year,interest_margin_to_gross_income_pct,source,is_extreme_value
Armenia,2019,54.96,Annual (reported),False
Armenia,2020,57.05,Annual (reported),False
Armenia,2021,56.82,Annual (reported),False
Armenia,2022,35.97,Annual (reported),False
Armenia,2023,53.49,Annual (reported),False
Armenia,2024,55.89,Annual (reported),False
Australia,2006,51.06,Annual (reported),False
Australia,2007,52.76,Annual (reported),False
Australia,2008,47.57,Annual (reported),False
Australia,2009,61.08,Annual (reported),False
Australia,2010,90.37,Annual (reported),False
Australia,2011,67.83,Annual (reported),False
Australia,2012,64.26,Annual (reported),False
Australia,2013,61.43,Annual (reported),False
Australia,2014,65.92,Annual (reported),False
Australia,2015,59.41,Annual (reported),False
Australia,2016,82.54,Annual (reported),False
Australia,2017,71.28,Annual (reported),False
Australia,2018,64.86,Annual (reported),False
Australia,2019,74.34,Annual (reported),False
Australia,2020,91.11,Annual (reported),False
Australia,2021,76.72,Annual (reported),False
Australia,2022,67.36,Annual (reported),False
Australia,2023,74.93,Annual (reported),False
Australia,2024,77.41,Annual (reported),False
Austria,2006,71.35,Annual (reported),False
Austria,2007,70.7,Annual (reported),False
Austria,2008,64.57,Annual (reported),False
Austria,2009,69.73,Annual (reported),False
Austria,2010,67.37,Annual (reported),False
Austria,2011,63.27,Annual (reported),False
Austria,2012,59.28,Annual (reported),False
Austria,2013,65.68,Annual (reported),False
Austria,2014,58.67,Annual (reported),False
Austria,2015,58.84,Annual (reported),False
Austria,2016,58.96,Annual (reported),False
Austria,2017,59.11,Annual (reported),False
Austria,2018,51.01,Annual (reported),False
Austria,2019,49.87,Annual (reported),False
Austria,2020,51.85,Annual (reported),False
Austria,2021,49.24,Annual (reported),False
Austria,2022,48.69,Annual (reported),False
Austria,2023,57.82,Annual (reported),False
Austria,2024,59.38,Annual (reported),False
Bangladesh,2011,66.14,Annual (reported),False
Bangladesh,2012,67.8,Annual (reported),False
Bangladesh,2013,67.89,Annual (reported),False
Bangladesh,2014,68.94,Annual (reported),False
Bangladesh,2015,68.9,Annual (reported),False
Bangladesh,2016,71.1,Annual (reported),False
Bangladesh,2017,68.25,Annual (reported),False
Bangladesh,2018,73.44,Annual (reported),False
Bangladesh,2019,73.82,Annual (reported),False
Bangladesh,2020,72.75,Annual (reported),False
Bangladesh,2021,70.67,Annual (reported),False
Bangladesh,2022,67.3,Annual (reported),False
Bangladesh,2023,72.36,Annual (reported),False
Bangladesh,2024,73.7,Annual (reported),False
Belarus,2010,41.88,Annual (reported),False
Belarus,2011,10.69,Annual (reported),False
Belarus,2012,14.78,Annual (reported),False
Belarus,2013,11.23,Annual (reported),False
Belarus,2014,9.86,Annual (reported),False
Belarus,2015,10.59,Annual (reported),False
Belarus,2016,14.7,Annual (reported),False
Belarus,2017,16.9,Annual (reported),False
Belarus,2018,17.31,Annual (reported),False
Belarus,2019,16.97,Annual (reported),False
Belarus,2020,14.14,Annual (reported),False
Belarus,2021,14.15,Annual (reported),False
Belarus,2022,11.32,Annual (reported),False
Belarus,2023,11.44,Annual (reported),False
Belarus,2024,9.96,Annual (reported),False
Belarus,2025,10.15,Annual (reported),False
Belgium,2005,49.28,Annual (reported),False
Belgium,2006,43.14,Annual (reported),False
Belgium,2007,44.41,Annual (reported),False
Belgium,2008,47.88,Annual (reported),False
Belgium,2009,70.82,Annual (reported),False
Belgium,2010,58.71,Annual (reported),False
Belgium,2011,67.12,Annual (reported),False
Belgium,2012,64.24,Annual (reported),False
Belgium,2013,44.66,Annual (reported),False
Belgium,2014,60.72,Annual (reported),False
Belgium,2015,58.51,Annual (reported),False
Belgium,2016,57.05,Annual (reported),False
Belgium,2017,52.63,Annual (reported),False
Belgium,2018,40.41,Annual (reported),False
Belgium,2019,39.44,Annual (reported),False
Belgium,2020,39.08,Annual (reported),False
Belgium,2021,49.7,Annual (reported),False
Belgium,2022,50.05,Annual (reported),False
Belgium,2023,52.99,Annual (reported),False
Belgium,2024,34.07,Annual (reported),False
Belgium,2025,33.11,Annual (reported),False
Belize,2017,70.27,Annual (reported),False
Belize,2018,75.69,Annual (reported),False
Belize,2019,69.35,Annual (reported),False
Belize,2020,75.84,Annual (reported),False
Belize,2021,73.99,Annual (reported),False
Belize,2022,71.12,Annual (reported),False
Belize,2023,73.25,Annual (reported),False
Belize,2024,71.36,Annual (reported),False
Bhutan,2010,81.07,Annual (reported),False
Bhutan,2011,82.84,Annual (reported),False
Bhutan,2012,86.79,Annual (reported),False
Bhutan,2013,85.17,Annual (reported),False
Bhutan,2014,86.84,Annual (reported),False
Bhutan,2015,86.14,Annual (reported),False
Bhutan,2016,85.44,Annual (reported),False
Bhutan,2017,85.13,Annual (reported),False
Bhutan,2018,83.77,Annual (reported),False
Bhutan,2019,84.99,Annual (reported),False
Bhutan,2020,79.75,Annual (reported),False
Bhutan,2021,77.81,Annual (reported),False
Bhutan,2022,74.9,Annual (reported),False
Bhutan,2023,78.7,Annual (reported),False
Bhutan,2024,82.33,Annual (reported),False
Bolivia,2010,66.98,Annual (reported),False
Bolivia,2011,71.2,Annual (reported),False
Bolivia,2012,70.14,Annual (reported),False
Bolivia,2013,72.69,Annual (reported),False
Bolivia,2014,75.65,Annual (reported),False
Bolivia,2015,74.22,Annual (reported),False
Bolivia,2016,70.39,Annual (reported),False
Bolivia,2017,68.47,Annual (reported),False
Bolivia,2018,71.17,Annual (reported),False
Bolivia,2019,70.86,Annual (reported),False
Bolivia,2020,73.34,Annual (reported),False
Bolivia,2021,70.66,Annual (reported),False
Bolivia,2022,71.36,Annual (reported),False
Bolivia,2023,62.16,Annual (reported),False
Bolivia,2024,51.13,Annual (reported),False
Bosnia and Herzegovina,2000,40.18,Annual (reported),False
Bosnia and Herzegovina,2001,39.88,Annual (reported),False
Bosnia and Herzegovina,2002,39.62,Annual (reported),False
Bosnia and Herzegovina,2003,45.22,Annual (reported),False
Bosnia and Herzegovina,2004,49.68,Annual (reported),False
Bosnia and Herzegovina,2005,54.06,Annual (reported),False
Bosnia and Herzegovina,2006,54.31,Annual (reported),False
Bosnia and Herzegovina,2007,59.68,Annual (reported),False
Bosnia and Herzegovina,2008,60.62,Annual (reported),False
Bosnia and Herzegovina,2009,61.54,Annual (reported),False
Bosnia and Herzegovina,2010,60.06,Annual (reported),False
Bosnia and Herzegovina,2011,63.87,Annual (reported),False
Bosnia and Herzegovina,2012,63.67,Annual (reported),False
Bosnia and Herzegovina,2013,62.29,Annual (reported),False
Bosnia and Herzegovina,2014,61.59,Annual (reported),False
Bosnia and Herzegovina,2015,62.04,Annual (reported),False
Bosnia and Herzegovina,2016,60.4,Annual (reported),False
Bosnia and Herzegovina,2017,58.31,Annual (reported),False
Bosnia and Herzegovina,2018,58.83,Annual (reported),False
Bosnia and Herzegovina,2019,56.79,Annual (reported),False
Bosnia and Herzegovina,2020,56.03,Annual (reported),False
Bosnia and Herzegovina,2021,59.18,Annual (reported),False
Bosnia and Herzegovina,2022,56.62,Annual (reported),False
Bosnia and Herzegovina,2023,63.26,Annual (reported),False
Bosnia and Herzegovina,2024,61.16,Annual (reported),False
Botswana,2012,65.67,Annual (reported),False
Botswana,2013,64.68,Annual (reported),False
Botswana,2014,59.61,Annual (reported),False
Botswana,2015,57.52,Annual (reported),False
Botswana,2016,61.37,Annual (reported),False
Botswana,2017,61.63,Annual (reported),False
Botswana,2018,57.18,Annual (reported),False
Botswana,2019,56.2,Annual (reported),False
Botswana,2020,55.71,Annual (reported),False
Botswana,2021,45.9,Annual (reported),False
Botswana,2022,53.15,Annual (reported),False
Botswana,2023,54.24,Annual (reported),False
Botswana,2024,57.1,Annual (reported),False
Botswana,2025,45.82,Annual (reported),False
Brazil,2005,76.89,Annual (reported),False
Brazil,2006,79.64,Annual (reported),False
Brazil,2007,76.51,Annual (reported),False
Brazil,2008,81.48,Annual (reported),False
Brazil,2009,77.08,Annual (reported),False
Brazil,2010,79.43,Annual (reported),False
Brazil,2011,79.09,Annual (reported),False
Brazil,2012,78.01,Annual (reported),False
Brazil,2013,77.07,Annual (reported),False
Brazil,2014,65.43,Annual (reported),False
Brazil,2015,64.52,Annual (reported),False
Brazil,2016,63.3,Annual (reported),False
Brazil,2017,62.74,Annual (reported),False
Brazil,2018,63.02,Annual (reported),False
Brazil,2019,62.13,Annual (reported),False
Brazil,2020,63.36,Annual (reported),False
Brazil,2021,65.44,Annual (reported),False
Brazil,2022,65.39,Annual (reported),False
Brazil,2023,67.33,Annual (reported),False
Brazil,2024,75.94,Annual (reported),False
Brazil,2025,69.45,Annual (reported),False
Brunei Darussalam,2010,77.11,Annual (reported),False
Brunei Darussalam,2011,79.52,Annual (reported),False
Brunei Darussalam,2012,70.07,Annual (reported),False
Brunei Darussalam,2013,74.08,Annual (reported),False
Brunei Darussalam,2014,74.99,Annual (reported),False
Brunei Darussalam,2015,74.58,Annual (reported),False
Brunei Darussalam,2016,71.27,Annual (reported),False
Brunei Darussalam,2017,69.74,Annual (reported),False
Brunei Darussalam,2018,80.04,Annual (reported),False
Brunei Darussalam,2019,76.35,Annual (reported),False
Brunei Darussalam,2020,75.64,Annual (reported),False
Brunei Darussalam,2021,72.86,Annual (reported),False
Brunei Darussalam,2022,82.01,Annual (reported),False
Brunei Darussalam,2023,83.77,Annual (reported),False
Brunei Darussalam,2024,83.91,Annual (reported),False
Brunei Darussalam,2025,83.99,Annual (reported),False
Bulgaria,2008,75.06,Annual (reported),False
Bulgaria,2009,74.79,Annual (reported),False
Bulgaria,2010,74.12,Annual (reported),False
Bulgaria,2011,73.24,Annual (reported),False
Bulgaria,2012,68.77,Annual (reported),False
Bulgaria,2013,68.47,Annual (reported),False
Bulgaria,2014,67.38,Annual (reported),False
Bulgaria,2015,66.2,Annual (reported),False
Bulgaria,2016,69.24,Annual (reported),False
Bulgaria,2017,69.37,Annual (reported),False
Bulgaria,2018,65.07,Annual (reported),False
Bulgaria,2019,65.03,Annual (reported),False
Bulgaria,2020,63.74,Annual (reported),False
Bulgaria,2021,57.25,Annual (reported),False
Bulgaria,2022,56.69,Annual (reported),False
Bulgaria,2023,65.87,Annual (reported),False
Bulgaria,2024,65.95,Annual (reported),False
Bulgaria,2025,64.72,Annual (reported),False
Cambodia,2010,61.64,Annual (reported),False
Cambodia,2011,63.76,Annual (reported),False
Cambodia,2012,66.39,Annual (reported),False
Cambodia,2013,68.34,Annual (reported),False
Cambodia,2014,72.88,Annual (reported),False
Cambodia,2015,62.94,Annual (reported),False
Cambodia,2016,65.21,Annual (reported),False
Cambodia,2017,60.99,Annual (reported),False
Cambodia,2018,56.27,Annual (reported),False
Cambodia,2019,54.91,Annual (reported),False
Cambodia,2020,38.57,Annual (reported),False
Cambodia,2021,41.77,Annual (reported),False
Cambodia,2022,32.26,Annual (reported),False
Cambodia,2023,32.32,Annual (reported),False
Cambodia,2024,82.94,Annual (reported),False
Cameroon,2010,41.45,Annual (reported),False
Cameroon,2011,42.37,Annual (reported),False
Cameroon,2012,18.24,Annual (reported),False
Cameroon,2013,15.79,Annual (reported),False
Cameroon,2014,21.3,Annual (reported),False
Cameroon,2015,11.9,Annual (reported),False
Cameroon,2016,13.47,Annual (reported),False
Cameroon,2017,14.14,Annual (reported),False
Cameroon,2018,12.95,Annual (reported),False
Cameroon,2019,3.84,Annual (reported),False
Cameroon,2020,13.86,Annual (reported),False
Cameroon,2021,23.25,Annual (reported),False
Cameroon,2022,52.93,Annual (reported),False
Cameroon,2023,52.38,Annual (reported),False
Canada,2005,46.93,Annual (reported),False
Canada,2006,44.07,Annual (reported),False
Canada,2007,45.55,Annual (reported),False
Canada,2008,59.15,Annual (reported),False
Canada,2009,54.42,Annual (reported),False
Canada,2010,53.07,Annual (reported),False
Canada,2011,52.63,Annual (reported),False
Canada,2012,55.32,Annual (reported),False
Canada,2013,55.42,Annual (reported),False
Canada,2014,54.0,Annual (reported),False
Canada,2015,53.88,Annual (reported),False
Canada,2016,54.05,Annual (reported),False
Canada,2017,53.36,Annual (reported),False
Canada,2018,53.54,Annual (reported),False
Canada,2019,55.28,Annual (reported),False
Canada,2020,56.43,Annual (reported),False
Canada,2021,53.96,Annual (reported),False
Canada,2022,54.21,Annual (reported),False
Canada,2023,56.68,Annual (reported),False
Canada,2024,54.55,Annual (reported),False
Canada,2025,53.38,Annual (reported),False
Central African Republic,2010,53.32,Annual (reported),False
Central African Republic,2011,53.44,Annual (reported),False
Central African Republic,2012,56.91,Annual (reported),False
Central African Republic,2013,61.2,Annual (reported),False
Central African Republic,2014,51.4,Annual (reported),False
Central African Republic,2015,44.09,Annual (reported),False
Central African Republic,2016,46.38,Annual (reported),False
Central African Republic,2017,46.16,Annual (reported),False
Central African Republic,2018,42.37,Annual (reported),False
Central African Republic,2019,45.16,Annual (reported),False
Central African Republic,2020,45.51,Annual (reported),False
Central African Republic,2021,52.25,Annual (reported),False
Central African Republic,2022,53.07,Annual (reported),False
Central African Republic,2023,45.71,Annual (reported),False
Chad,2010,45.24,Annual (reported),False
Chad,2011,45.87,Annual (reported),False
Chad,2012,51.79,Annual (reported),False
Chad,2013,52.65,Annual (reported),False
Chad,2014,55.03,Annual (reported),False
Chad,2015,55.36,Annual (reported),False
Chad,2016,58.71,Annual (reported),False
Chad,2017,53.91,Annual (reported),False
Chad,2018,47.98,Annual (reported),False
Chad,2019,44.71,Annual (reported),False
Chad,2020,54.32,Annual (reported),False
Chad,2021,57.5,Annual (reported),False
Chad,2022,48.16,Annual (reported),False
Chad,2023,44.21,Annual (reported),False
Chile,2001,72.63,Annual (reported),False
Chile,2002,76.55,Annual (reported),False
Chile,2003,48.85,Annual (reported),False
Chile,2004,69.31,Annual (reported),False
Chile,2005,70.72,Annual (reported),False
Chile,2006,75.61,Annual (reported),False
Chile,2007,81.18,Annual (reported),False
Chile,2008,68.47,Annual (reported),False
Chile,2009,60.53,Annual (reported),False
Chile,2010,63.12,Annual (reported),False
Chile,2011,64.35,Annual (reported),False
Chile,2012,64.26,Annual (reported),False
Chile,2013,63.53,Annual (reported),False
Chile,2014,67.64,Annual (reported),False
Chile,2015,66.42,Annual (reported),False
Chile,2016,66.61,Annual (reported),False
Chile,2017,66.2,Annual (reported),False
Chile,2018,67.13,Annual (reported),False
Chile,2019,66.92,Annual (reported),False
Chile,2020,69.43,Annual (reported),False
Chile,2021,69.45,Annual (reported),False
Chile,2022,74.4,Annual (reported),False
Chile,2023,69.56,Annual (reported),False
Chile,2024,70.43,Annual (reported),False
Chile,2025,68.56,Annual (reported),False
China,2010,82.53,Annual (reported),False
China,2011,80.68,Annual (reported),False
China,2012,80.17,Annual (reported),False
China,2013,78.85,Annual (reported),False
China,2014,78.53,Annual (reported),False
China,2015,76.27,Annual (reported),False
China,2016,76.2,Annual (reported),False
China,2017,77.35,Annual (reported),False
China,2018,77.89,Annual (reported),False
China,2019,78.07,Annual (reported),False
China,2020,78.96,Annual (reported),False
China,2021,80.19,Annual (reported),False
China,2022,81.2,Annual (reported),False
China,2023,80.07,Annual (reported),False
China,2024,77.58,Annual (reported),False
Colombia,2005,38.29,Annual (reported),False
Colombia,2006,44.63,Annual (reported),False
Colombia,2007,51.24,Annual (reported),False
Colombia,2008,54.05,Annual (reported),False
Colombia,2009,53.96,Annual (reported),False
Colombia,2010,55.57,Annual (reported),False
Colombia,2011,58.39,Annual (reported),False
Colombia,2012,58.73,Annual (reported),False
Colombia,2013,61.34,Annual (reported),False
Colombia,2014,60.63,Annual (reported),False
Colombia,2015,58.66,Annual (reported),False
Colombia,2016,53.74,Annual (reported),False
Colombia,2017,59.24,Annual (reported),False
Colombia,2018,58.86,Annual (reported),False
Colombia,2019,57.52,Annual (reported),False
Colombia,2020,56.04,Annual (reported),False
Colombia,2021,58.11,Annual (reported),False
Colombia,2022,58.58,Annual (reported),False
Colombia,2023,49.53,Annual (reported),False
Colombia,2024,49.42,Annual (reported),False
Colombia,2025,47.21,Annual (reported),False
Comoros,2010,53.83,Annual (reported),False
Comoros,2011,54.76,Annual (reported),False
Comoros,2012,53.22,Annual (reported),False
Comoros,2013,54.72,Annual (reported),False
Comoros,2014,56.92,Annual (reported),False
Comoros,2015,60.89,Annual (reported),False
Comoros,2016,46.76,Annual (reported),False
Comoros,2017,53.5,Annual (reported),False
Comoros,2018,52.4,Annual (reported),False
Comoros,2019,47.68,Annual (reported),False
Comoros,2020,45.22,Annual (reported),False
Comoros,2021,45.73,Annual (reported),False
Comoros,2022,40.56,Annual (reported),False
"Congo, Dem. Rep.",2018,33.92,Annual (reported),False
"Congo, Dem. Rep.",2019,37.09,Annual (reported),False
"Congo, Dem. Rep.",2020,32.34,Annual (reported),False
"Congo, Dem. Rep.",2021,28.9,Annual (reported),False
"Congo, Dem. Rep.",2022,30.8,Annual (reported),False
"Congo, Dem. Rep.",2023,37.49,Annual (reported),False
"Congo, Dem. Rep.",2024,38.88,Annual (reported),False
"Congo, Dem. Rep.",2025,38.4,Annual (reported),False
"Congo, Rep.",2010,40.71,Annual (reported),False
"Congo, Rep.",2011,40.98,Annual (reported),False
"Congo, Rep.",2012,46.66,Annual (reported),False
"Congo, Rep.",2013,45.58,Annual (reported),False
"Congo, Rep.",2014,48.46,Annual (reported),False
"Congo, Rep.",2015,45.94,Annual (reported),False
"Congo, Rep.",2016,51.16,Annual (reported),False
"Congo, Rep.",2017,34.68,Annual (reported),False
"Congo, Rep.",2018,22.55,Annual (reported),False
"Congo, Rep.",2019,21.27,Annual (reported),False
"Congo, Rep.",2020,5.76,Annual (reported),False
"Congo, Rep.",2021,51.13,Annual (reported),False
"Congo, Rep.",2022,50.16,Annual (reported),False
"Congo, Rep.",2023,11.7,Annual (reported),False
Costa Rica,2008,60.76,Annual (reported),False
Costa Rica,2009,63.0,Annual (reported),False
Costa Rica,2010,63.87,Annual (reported),False
Costa Rica,2011,62.76,Annual (reported),False
Costa Rica,2012,61.97,Annual (reported),False
Costa Rica,2013,60.28,Annual (reported),False
Costa Rica,2014,59.37,Annual (reported),False
Costa Rica,2015,61.2,Annual (reported),False
Costa Rica,2016,59.8,Annual (reported),False
Costa Rica,2017,59.0,Annual (reported),False
Costa Rica,2018,62.44,Annual (reported),False
Costa Rica,2019,61.78,Annual (reported),False
Costa Rica,2020,57.17,Annual (reported),False
Costa Rica,2021,57.74,Annual (reported),False
Costa Rica,2022,54.74,Annual (reported),False
Costa Rica,2023,52.01,Annual (reported),False
Costa Rica,2024,50.6,Annual (reported),False
Costa Rica,2025,54.31,Annual (reported),False
Croatia,2006,60.54,Annual (reported),False
Croatia,2007,60.06,Annual (reported),False
Croatia,2008,62.07,Annual (reported),False
Croatia,2009,56.73,Annual (reported),False
Croatia,2010,64.33,Annual (reported),False
Croatia,2011,66.06,Annual (reported),False
Croatia,2012,62.5,Annual (reported),False
Croatia,2013,60.09,Annual (reported),False
Croatia,2014,58.15,Annual (reported),False
Croatia,2015,62.11,Annual (reported),False
Croatia,2016,57.74,Annual (reported),False
Croatia,2017,60.12,Annual (reported),False
Croatia,2018,56.62,Annual (reported),False
Croatia,2019,52.46,Annual (reported),False
Croatia,2020,61.23,Annual (reported),False
Croatia,2021,54.12,Annual (reported),False
Croatia,2022,53.45,Annual (reported),False
Croatia,2023,68.48,Annual (reported),False
Croatia,2024,66.44,Annual (reported),False
Croatia,2025,64.47,Annual (reported),False
Cyprus,2008,67.28,Annual (reported),False
Cyprus,2009,66.13,Annual (reported),False
Cyprus,2010,74.32,Annual (reported),False
Cyprus,2011,83.66,Annual (reported),False
Cyprus,2012,76.81,Annual (reported),False
Cyprus,2013,82.71,Annual (reported),False
Cyprus,2014,78.29,Annual (reported),False
Cyprus,2015,76.37,Annual (reported),False
Cyprus,2016,72.57,Annual (reported),False
Cyprus,2017,71.18,Annual (reported),False
Cyprus,2018,51.73,Annual (reported),False
Cyprus,2019,65.28,Annual (reported),False
Cyprus,2020,69.56,Annual (reported),False
Cyprus,2021,68.01,Annual (reported),False
Cyprus,2022,64.67,Annual (reported),False
Cyprus,2023,75.31,Annual (reported),False
Cyprus,2024,79.04,Annual (reported),False
Cyprus,2025,74.04,Annual (reported),False
Czechia,2005,51.83,Annual (reported),False
Czechia,2008,64.97,Annual (reported),False
Czechia,2009,55.79,Annual (reported),False
Czechia,2010,63.12,Annual (reported),False
Czechia,2011,64.45,Annual (reported),False
Czechia,2012,60.72,Annual (reported),False
Czechia,2013,59.89,Annual (reported),False
Czechia,2014,61.83,Annual (reported),False
Czechia,2015,60.75,Annual (reported),False
Czechia,2016,59.0,Annual (reported),False
Czechia,2017,59.16,Annual (reported),False
Czechia,2018,64.85,Annual (reported),False
Czechia,2019,68.97,Annual (reported),False
Czechia,2020,66.74,Annual (reported),False
Czechia,2021,64.94,Annual (reported),False
Czechia,2022,70.02,Annual (reported),False
Czechia,2023,66.86,Annual (reported),False
Czechia,2024,63.67,Annual (reported),False
Czechia,2025,62.88,Annual (reported),False
Denmark,2010,75.94,Annual (reported),False
Denmark,2011,78.9,Annual (reported),False
Denmark,2012,72.87,Annual (reported),False
Denmark,2013,74.08,Annual (reported),False
Denmark,2014,73.43,Annual (reported),False
Denmark,2015,61.52,Annual (reported),False
Denmark,2016,57.28,Annual (reported),False
Denmark,2017,52.62,Annual (reported),False
Denmark,2018,54.33,Annual (reported),False
Denmark,2019,49.95,Annual (reported),False
Denmark,2020,52.01,Annual (reported),False
Denmark,2021,47.95,Annual (reported),False
Denmark,2022,53.67,Annual (reported),False
Denmark,2023,58.36,Annual (reported),False
Denmark,2024,60.29,Annual (reported),False
Denmark,2025,62.05,Annual (reported),False
Djibouti,2012,72.69,Annual (reported),False
Djibouti,2013,72.44,Annual (reported),False
Djibouti,2014,69.72,Annual (reported),False
Djibouti,2015,69.26,Annual (reported),False
Djibouti,2016,68.66,Annual (reported),False
Djibouti,2017,68.82,Annual (reported),False
Djibouti,2018,67.78,Annual (reported),False
Djibouti,2019,68.35,Annual (reported),False
Djibouti,2020,70.62,Annual (reported),False
Djibouti,2021,68.2,Annual (reported),False
Djibouti,2022,58.48,Annual (reported),False
Djibouti,2023,66.03,Annual (reported),False
Djibouti,2024,71.42,Annual (reported),False
Dominica,2015,49.64,Annual (reported),False
Dominica,2016,56.28,Annual (reported),False
Dominica,2017,56.46,Annual (reported),False
Dominica,2018,54.31,Annual (reported),False
Dominica,2019,59.82,Annual (reported),False
Dominica,2020,50.34,Annual (reported),False
Dominica,2021,48.77,Annual (reported),False
Dominica,2022,52.11,Annual (reported),False
Dominica,2023,54.25,Annual (reported),False
Dominica,2024,56.74,Annual (reported),False
Dominica,2025,57.77,Annual (reported),False
Dominican Republic,2017,74.61,Annual (reported),False
Dominican Republic,2018,73.24,Annual (reported),False
Dominican Republic,2019,71.96,Annual (reported),False
Dominican Republic,2020,76.31,Annual (reported),False
Dominican Republic,2021,77.82,Annual (reported),False
Dominican Republic,2022,71.91,Annual (reported),False
Dominican Republic,2023,72.38,Annual (reported),False
Dominican Republic,2024,74.1,Annual (reported),False
Dominican Republic,2025,72.24,Annual (reported),False
Ecuador,2003,49.24,Annual (reported),False
Ecuador,2004,45.56,Annual (reported),False
Ecuador,2005,44.73,Annual (reported),False
Ecuador,2006,43.63,Annual (reported),False
Ecuador,2007,49.87,Annual (reported),False
Ecuador,2008,56.59,Annual (reported),False
Ecuador,2009,57.4,Annual (reported),False
